horodatage,id_session,nom_session,date_session,jour_semaine,heure,coach,lieu,capacite,places_restantes,places_reservees,taux_remplissage_pct,liste_attente_pleine
2026-07-21 15:04:04,138957176,Fondation 2 🤎 Reformer,2026-07-31 15:00:00,Vendredi,15:00,Nathalie Hamm,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,138957177,Sculpt 🤎 Reformer,2026-07-31 16:00:00,Vendredi,16:00,Nathalie Hamm,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,138957190,Flow Trio 🤎 Reformer,2026-07-31 17:00:00,Vendredi,17:00,Nathalie Hamm,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,138957195,Fondation 1 🤎 Reformer,2026-07-31 18:00:00,Vendredi,18:00,Nathalie Hamm,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,138957198,Fondation 1 🤎 Reformer,2026-08-01 09:00:00,Samedi,09:00,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,138957265,Sculpt 🤎 Reformer,2026-08-01 10:00:00,Samedi,10:00,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,138957280,Core & Tone 🤎 Reformer,2026-08-01 11:00:00,Samedi,11:00,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,138957373,Fondation 2 🤎 Reformer,2026-08-01 12:00:00,Samedi,12:00,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137617870,Fondation 2 🤎 Reformer,2026-08-03 07:00:00,Lundi,07:00,Aveline Caminade,Reformer,5,4,1,20.0,False
2026-07-21 15:04:04,137618003,Sculpt 🤎 Reformer,2026-08-03 08:00:00,Lundi,08:00,Aveline Caminade,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137618256,Dynamic Fit 🤎 Reformer,2026-08-03 09:00:00,Lundi,09:00,Aveline Caminade,Reformer,5,2,3,60.0,False
2026-07-21 15:04:04,137618704,Fondation 2 🤎 Reformer,2026-08-03 17:00:00,Lundi,17:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137618807,Sculpt 🤎 Reformer,2026-08-03 18:00:00,Lundi,18:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137619206,Core & Tone 🤎 Reformer,2026-08-03 19:00:00,Lundi,19:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137619698,Sculpt 🤎 Reformer,2026-08-03 20:00:00,Lundi,20:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,138961684,Core & Tone ⭐️ Pilates Mat ,2026-08-04 08:00:00,Mardi,08:00,Dani Johnson,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,138961695,Soft & Stretch ⭐️ Pilates Mat,2026-08-04 09:00:00,Mardi,09:00,Dani Johnson,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,138961733,Dynamic Fit ⭐️ Pilates Mat,2026-08-04 10:00:00,Mardi,10:00,Dani Johnson,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,137620205,Fondation 2 🤎 Reformer,2026-08-04 12:15:00,Mardi,12:15,Léa Aveline,Reformer,5,5,0,0.0,False
